RK,SCHOOL,TOTAL REVENUE,TOTAL EXPENSES,TOTAL SUBSIDY,% SUBSIDY
1,Texas,"$165,691,486","$146,807,585",$0,0
2,Wisconsin,"$149,141,405","$146,659,187","$7,859,675",5.27
3,Alabama,"$143,776,550","$116,607,913","$5,791,200",4.03
4,Michigan,"$143,514,125","$131,018,311","$255,832",0.18
5,Ohio State,"$139,639,307","$116,026,329",$0,0
6,Florida,"$130,011,244","$106,972,983","$4,444,516",3.42
7,Oklahoma,"$123,805,661","$102,447,553",$0,0
8,LSU,"$117,457,398","$105,312,018",$0,0
9,Oregon,"$115,241,070","$94,972,708","$2,337,377",2.03
10,Tennessee,"$111,579,779","$110,269,194","$12,434,056",11.14
11,Iowa,"$107,153,782","$106,969,227","$678,842",0.63
12,Penn State,"$104,751,464","$110,737,200",$0,0
13,Auburn,"$103,680,609","$103,126,413","$4,315,584",4.16
14,Arkansas,"$99,770,840","$92,131,933","$2,027,439",2.03
15,Minnesota,"$98,286,669","$96,427,632","$8,101,066",8.24
16,Georgia,"$98,120,889","$96,904,626","$3,237,955",3.3
17,Michigan State,"$97,942,726","$93,743,529","$1,772,415",1.81
18,Louisville,"$96,193,330","$92,383,221","$10,914,122",11.35
19,Kentucky,"$95,720,724","$93,423,628","$847,079",0.88
20,California,"$94,487,380","$90,126,390","$7,567,235",8.01
21,Texas A&M,"$93,957,906","$85,114,588","$590,973",0.63
22,Oklahoma State,"$93,664,337","$96,551,860","$7,336,442",7.83
23,Kansas,"$93,114,168","$79,720,036","$2,870,626",3.08
24,Florida State,"$91,382,441","$84,772,759","$7,859,734",8.6
25,South Carolina,"$90,484,422","$89,097,412","$2,537,697",2.8
26,Nebraska,"$86,916,001","$81,666,269",$0,0
27,Washington,"$85,072,886","$76,209,927","$3,335,999",3.92
28,Virginia,"$84,402,710","$84,201,789","$13,119,353",15.54
29,UCLA,"$83,926,720","$83,926,720","$2,627,405",3.13
30,North Carolina,"$82,792,342","$82,735,139","$9,155,221",11.06
31,Illinois,"$79,725,521","$78,667,480","$3,913,032",4.91
32,Rutgers,"$78,989,475","$78,989,475","$46,996,697",59.5
33,West Virginia,"$77,706,698","$73,501,593","$4,461,487",5.74
34,Indiana,"$76,660,265","$72,597,053","$2,561,958",3.34
35,Missouri,"$76,306,889","$70,276,015","$1,515,000",1.99
36,Mississippi,"$73,390,050","$71,315,807","$3,831,598",5.22
37,Texas Tech,"$72,917,990","$66,296,446","$4,010,716",5.5
38,Purdue,"$72,379,392","$74,628,002",$0,0
39,Kansas State,"$70,457,283","$59,325,573","$2,486,258",3.53
40,Virginia Tech,"$70,030,484","$66,581,916","$7,888,739",11.26
41,Clemson,"$69,061,398","$67,091,087","$3,756,657",5.44
42,Arizona,"$68,510,915","$68,253,136","$7,326,902",10.69
43,North Carolina State,"$67,481,639","$63,137,393","$6,531,331",9.68
44,Arizona State,"$65,673,955","$65,600,187","$10,120,409",15.41
45,Oregon State,"$65,467,970","$64,185,065","$12,270,241",18.74
46,Nevada-Las Vegas,"$64,513,044","$63,672,024","$36,163,296",56.06
47,Maryland,"$63,714,470","$63,367,929","$15,469,285",24.28
48,Connecticut,"$63,336,022","$63,420,811","$18,860,823",29.78
49,Mississippi State,"$62,764,025","$57,362,224","$3,000,000",4.78
50,Iowa State,"$62,357,761","$62,224,194","$1,834,796",2.94
51,Cincinnati,"$61,915,431","$59,540,002","$21,754,860",35.14
52,Georgia Tech,"$61,780,812","$63,630,961","$7,147,389",11.57
53,Colorado,"$58,334,345","$66,327,497","$7,097,436",12.17
54,Washington State,"$47,191,240","$52,126,124","$6,515,694",13.81
55,Utah,"$46,855,283","$49,520,152","$10,239,500",21.85
56,Memphis,"$46,346,285","$46,501,314","$18,906,228",40.79
57,South Florida,"$45,066,258","$44,612,535","$17,703,771",39.28
58,New Mexico,"$44,345,840","$45,046,275","$15,343,104",34.6
59,Boise State,"$43,166,257","$43,292,010","$11,496,954",26.63
60,Houston,"$42,024,887","$42,664,044","$26,114,464",62.14
61,Central Florida,"$41,222,301","$41,981,093","$22,857,979",55.45
62,San Diego State,"$39,211,827","$42,849,323","$17,579,724",44.83
63,Air Force,"$39,031,348","$39,497,086","$25,529,155",65.41
