RK,SCHOOL,CONF,TOTAL REVENUE,TOTAL EXPENSES,TOTAL SUBSIDY,% SUBSIDY
1,Texas A&M,SEC,"$192,608,876","$109,313,651",$0,0
2,Texas,Big 12,"$183,521,028","$173,248,133",$0,0
3,Ohio State,Big Ten,"$167,166,065","$154,033,208",$0,0
4,Michigan,Big Ten,"$152,477,026","$151,144,964","$263,345",0.17
5,Alabama,SEC,"$148,911,674","$132,354,913","$2,616,895",1.76
6,Florida,SEC,"$147,105,242","$125,384,443","$1,856,122",1.26
7,LSU,SEC,"$138,642,237","$121,947,775",$0,0
8,Oklahoma,Big 12,"$134,269,349","$123,017,251",$0,0
9,Tennessee,SEC,"$126,584,033","$113,413,325",$0,0
10,Penn State,Big Ten,"$125,720,619","$122,271,407",$0,0
11,Auburn,SEC,"$124,657,247","$115,498,047","$4,293,893",3.44
12,Wisconsin,Big Ten,"$123,895,543","$118,691,112","$7,850,256",6.34
13,Florida State,ACC,"$120,822,522","$111,386,681","$7,073,039",5.85
14,Kentucky,SEC,"$116,494,690","$115,159,039",$0,0
15,Georgia,SEC,"$116,151,279","$96,559,307","$3,212,769",2.77
16,Arkansas,SEC,"$114,172,847","$97,106,539",$0,0
17,South Carolina,SEC,"$113,172,545","$107,430,044",$0,0
18,Minnesota,Big Ten,"$111,162,265","$111,162,265","$6,919,096",6.22
19,Michigan State,Big Ten,"$108,687,274","$108,283,151","$702,284",0.65
20,Iowa,Big Ten,"$105,969,545","$109,214,651","$650,000",0.61
21,Oregon,Pac-12,"$105,701,523","$103,880,557","$2,009,125",1.9
22,Louisville,ACC,"$104,325,207","$101,624,437","$7,139,281",6.84
23,Washington,Pac-12,"$103,540,117","$104,403,253","$3,895,000",3.76
24,Nebraska,Big Ten,"$102,157,399","$98,023,037",$0,0
25,UCLA,Pac-12,"$96,912,767","$96,912,767","$2,668,512",2.75
26,Oklahoma State,Big 12,"$95,931,739","$93,144,396","$7,795,211",8.13
27,Maryland,Big Ten,"$92,686,128","$92,558,535","$14,546,411",15.69
28,Kansas,Big 12,"$91,860,673","$92,207,877","$1,960,129",2.13
29,Virginia,ACC,"$91,256,772","$91,345,925","$13,555,431",14.85
30,Missouri,SEC,"$91,217,778","$86,859,158","$1,515,000",1.66
31,West Virginia,Big 12,"$90,523,565","$87,265,473","$4,403,165",4.86
32,North Carolina,ACC,"$89,128,256","$89,080,843","$9,040,407",10.14
33,Indiana,Big Ten,"$88,362,421","$88,330,530","$2,707,752",3.06
34,Mississippi,SEC,"$87,602,519","$82,399,898","$1,995,752",2.28
35,Arizona,Pac-12,"$87,135,331","$80,706,045","$8,965,277",10.29
36,Illinois,Big Ten,"$85,998,659","$87,163,188","$3,728,444",4.34
37,California,Pac-12,"$85,539,904","$94,016,545","$1,252,719",1.46
38,Arizona State,Pac-12,"$84,440,040","$83,873,516","$19,379,132",22.95
39,Clemson,ACC,"$83,534,371","$82,855,674","$4,190,747",5.02
40,Virginia Tech,ACC,"$80,230,095","$77,679,721","$8,127,300",10.13
41,Texas Tech,Big 12,"$79,979,481","$76,525,961","$4,261,291",5.33
42,Georgia Tech,ACC,"$77,202,758","$74,979,077","$7,271,782",9.42
43,North Carolina State,ACC,"$76,834,603","$73,074,396","$6,696,315",8.72
44,Purdue,Big Ten,"$75,637,694","$74,420,334",$0,0
