RK,SCHOOL,CONF,TOTAL REVENUE,TOTAL EXPENSES,TOTAL SUBSIDY,% SUBSIDY
45,Mississippi State,SEC,"$75,400,407","$69,493,395","$1,730,000",2.29
46,Kansas State,Big 12,"$75,323,278","$67,316,209","$862,680",1.15
47,Iowa State,Big 12,"$75,283,516","$75,209,309","$2,044,400",2.72
48,Connecticut,AAC,"$72,155,789","$72,062,423","$28,070,681",38.9
49,Rutgers,Big Ten,"$70,558,935","$70,558,935","$23,803,903",33.74
50,Colorado,Pac-12,"$67,852,236","$65,273,311","$12,216,734",18
51,Oregon State,Pac-12,"$64,876,006","$72,557,984","$6,942,549",10.7
52,Utah,Pac-12,"$62,441,552","$58,734,014","$8,799,939",14.09
53,Washington State,Pac-12,"$54,112,604","$67,386,939","$6,112,056",11.3
54,Cincinnati,AAC,"$52,536,185","$51,717,370","$23,182,129",44.13
55,Central Florida,AAC,"$51,455,603","$47,647,475","$24,772,104",48.14
56,Air Force,Mt. West,"$50,191,669","$43,481,337","$34,078,719",67.9
57,San Diego State,Mt. West,"$49,011,745","$53,607,909","$23,974,887",48.92
58,East Carolina,AAC,"$48,918,305","$49,352,531","$18,053,311",36.91
59,South Florida,AAC,"$45,479,012","$46,860,838","$21,774,572",47.88
60,Nevada-Las Vegas,Mt. West,"$45,015,536","$44,935,234","$19,253,673",42.77
61,James Madison,CAA,"$44,825,701","$44,825,701","$35,837,395",79.95
62,Houston,AAC,"$44,815,210","$45,437,942","$25,994,014",58
63,Old Dominion,C-USA,"$43,994,715","$42,780,118","$28,419,259",64.6
64,Boise State,Mt. West,"$43,858,018","$44,227,893","$12,427,533",28.34
65,Memphis,AAC,"$43,430,404","$43,287,138","$18,187,902",41.88
66,Hawaii,Big West,"$43,116,142","$47,061,787","$17,602,267",40.83
67,New Mexico,Mt. West,"$42,353,920","$42,180,916","$11,247,798",26.56
68,Army,Patriot,"$41,202,176","$37,210,925","$12,295,476",29.84
69,Fresno State,Mt. West,"$39,073,736","$41,535,096","$14,222,181",36.4
70,Colorado State,Mt. West,"$38,451,203","$38,781,340","$20,412,573",53.09
71,Massachusetts,A-10,"$36,512,437","$36,897,375","$28,681,769",78.55
72,Wyoming,Mt. West,"$35,260,511","$33,364,169","$15,395,379",43.66
73,Western Michigan,MAC,"$34,698,711","$33,255,611","$25,839,878",74.47
74,Texas State,Sun Belt,"$34,508,786","$33,908,581","$24,062,214",69.73
75,Eastern Michigan,MAC,"$33,956,233","$33,956,234","$27,309,988",80.43
76,California-Davis,Big West,"$33,167,105","$31,870,332","$25,705,371",77.5
77,Charlotte,C-USA,"$33,124,557","$28,573,920","$22,632,085",68.32
78,Miami (Ohio),MAC,"$33,119,460","$32,756,388","$23,857,893",72.04
79,Delaware,CAA,"$32,287,704","$32,287,704","$25,611,872",79.32
80,Buffalo,MAC,"$32,181,552","$31,909,540","$24,353,178",75.67
81,Alabama at Birmingham,C-USA,"$31,896,726","$31,066,375","$19,607,780",61.47
82,Akron,MAC,"$31,771,467","$34,070,009","$22,118,580",69.62
83,Middle Tennessee,C-USA,"$31,671,166","$31,671,166","$19,459,839",61.44
84,Virginia Commonwealth,A-10,"$31,380,005","$30,683,392","$19,725,607",62.86
85,North Texas,C-USA,"$31,312,298","$31,268,741","$20,079,077",64.13
86,Florida Atlantic,C-USA,"$30,919,633","$29,794,361","$19,023,004",61.52
87,Utah State,Mt. West,"$30,333,172","$28,287,417","$19,168,029",63.19
88,Western Kentucky,C-USA,"$30,212,548","$30,212,548","$19,493,007",64.52
89,Texas-El Paso,C-USA,"$29,836,835","$29,395,257","$15,949,810",53.46
90,Appalachian State,Sun Belt,"$29,695,016","$30,648,792","$19,451,076",65.5
91,Arkansas State,Sun Belt,"$29,211,785","$29,211,785","$14,037,751",48.06
92,Stony Brook,Am East,"$29,103,307","$28,141,595","$23,867,253",82.01
93,Georgia State,Sun Belt,"$28,982,441","$27,586,906","$22,272,783",76.85
94,Ohio,MAC,"$28,709,413","$27,110,443","$18,810,082",65.52
95,Florida International,C-USA,"$28,613,452","$30,483,759","$23,620,086",82.55
96,San Jose State,Mt. West,"$28,589,341","$28,479,255","$18,093,953",63.29
97,South Alabama,Sun Belt,"$28,101,936","$25,123,468","$19,877,296",70.73
98,Central Michigan,MAC,"$27,862,443","$28,491,818","$19,408,633",69.66
99,New Hampshire,Am East,"$27,687,305","$27,876,601","$19,471,384",70.33
100,Northern Illinois,MAC,"$27,634,930","$27,276,559","$17,721,433",64.13
101,Marshall,C-USA,"$27,069,138","$27,397,209","$12,218,077",45.14
102,Troy,Sun Belt,"$27,056,669","$27,056,669","$20,414,195",75.45
103,New Mexico State,WAC,"$26,986,841","$26,874,116","$18,509,552",68.59
104,Nevada,Mt. West,"$26,954,582","$27,013,975","$9,444,623",35.04
105,Texas-San Antonio,C-USA,"$26,807,547","$26,177,864","$13,793,982",51.46
106,Wichita State,Mo. Valley,"$26,682,738","$25,100,692","$7,461,906",27.97
107,Toledo,MAC,"$26,503,340","$29,902,989","$15,267,544",57.61
108,Illinois State,Mo. Valley,"$26,316,799","$26,201,435","$19,155,965",72.79
109,California Polytechnic,Big West,"$26,291,182","$24,941,566","$19,933,747",75.82
110,George Mason,A-10,"$26,195,068","$28,765,782","$21,064,086",80.41
111,Kent State,MAC,"$25,908,848","$26,291,980","$19,204,708",74.12
112,Coastal Carolina,Big South,"$25,872,141","$25,119,220","$21,510,120",83.14
113,Rhode Island,A-10,"$25,571,891","$25,309,663","$20,074,107",78.5
114,William & Mary,CAA,"$25,388,514","$25,280,678","$14,154,420",55.75
115,Missouri State,Mo. Valley,"$25,180,896","$25,180,896","$15,885,964",63.09
116,Towson,CAA,"$25,081,958","$25,493,298","$20,075,141",80.04
117,North Dakota,Big Sky,"$24,287,775","$24,295,578","$10,603,550",43.66
118,Southern Mississippi,C-USA,"$23,972,589","$24,546,909","$8,787,048",36.65
119,Louisiana-Lafayette,Sun Belt,"$23,460,508","$23,034,683","$8,268,073",35.24
120,Ball State,MAC,"$22,800,600","$25,495,662","$17,177,535",75.34
121,Montana,Big Sky,"$22,379,177","$23,823,841","$7,969,335",35.61
122,Southern Illinois,Mo. Valley,"$22,377,794","$25,427,042","$14,404,894",64.37
123,North Dakota State,Summit,"$22,316,980","$22,268,430","$8,061,118",36.12
124,Louisiana Tech,C-USA,"$22,209,912","$21,849,418","$9,683,929",43.6
125,Sacramento State,Big Sky,"$22,205,925","$22,217,565","$18,045,917",81.27
126,Bowling Green,MAC,"$21,824,966","$21,823,070","$12,907,708",59.14
127,Georgia Southern,Sun Belt,"$21,144,354","$20,172,581","$13,802,187",65.28
128,Kennesaw State,Atl Sun,"$20,684,821","$20,144,745","$17,363,777",83.94
129,Northern Iowa,Mo. Valley,"$20,477,962","$19,810,525","$10,708,536",52.29
130,Maine,Am East,"$20,167,916","$20,118,596","$13,401,424",66.45
131,Idaho,Big Sky,"$19,950,964","$19,248,132","$10,583,477",53.05
132,College of Charleston,CAA,"$19,648,388","$20,164,655","$15,503,853",78.91
133,Montana State,Big Sky,"$19,317,019","$18,815,514","$10,240,409",53.01
134,Vermont,Am East,"$18,909,362","$19,916,906","$14,228,224",75.24
135,Albany,Am East,"$18,182,836","$18,148,836","$14,647,933",80.56
136,California-Irvine,Big West,"$18,120,795","$18,079,235","$14,120,090",77.92
137,Northern Arizona,Big Sky,"$17,936,491","$17,974,818","$14,484,142",80.75
138,Long Beach State,Big West,"$17,934,654","$18,721,675","$11,527,402",64.27
139,Tennessee-Chattanooga,Southern,"$17,359,207","$17,359,207","$12,189,481",70.22
140,California-Santa Barbara,Big West,"$17,007,169","$17,991,617","$13,770,849",80.97
141,Stephen F. Austin,Southland,"$16,436,498","$16,269,626","$13,562,055",82.51
142,South Dakota State,Summit,"$16,393,101","$16,417,153","$8,259,982",50.39
143,Nebraska-Omaha,Summit,"$16,333,665","$16,333,401","$11,177,195",68.43
144,Illinois-Chicago,Horizon,"$16,304,379","$16,217,206","$12,450,059",76.36
145,California-Riverside,Big West,"$16,093,814","$16,015,324","$14,554,502",90.44
146,Norfolk State,MEAC,"$16,081,787","$16,081,787","$13,487,263",83.87
147,North Carolina Greensboro,Southern,"$16,036,044","$15,304,624","$13,305,706",82.97
148,Lamar,Southland,"$15,948,771","$15,905,721","$12,906,168",80.92
149,Massachusetts-Lowell,Am East,"$15,927,182","$15,837,858","$13,094,135",82.21
150,East Tennessee State,Southern,"$15,909,297","$15,481,446","$12,772,777",80.28
151,Sam Houston State,Southland,"$15,838,256","$15,390,653","$11,532,918",72.82
152,Northern Colorado,Big Sky,"$15,765,885","$15,447,073","$10,492,129",66.55
153,Murray State,Ohio Valley,"$15,765,259","$15,139,758","$10,518,808",66.72
154,Maryland-Baltimore Cty,Am East,"$15,684,830","$15,843,627","$13,458,019",85.8
155,Binghamton,Am East,"$15,658,132","$15,784,558","$12,502,977",79.85
156,Citadel,Southern,"$15,579,470","$16,649,300","$10,615,876",68.14
157,Central Connecticut,Northeast,"$14,959,141","$14,949,486","$13,213,546",88.33
158,Youngstown State,Horizon,"$14,946,755","$14,946,755","$10,734,826",71.82
159,South Dakota,Summit,"$14,852,495","$14,752,570","$9,017,912",60.72
160,Florida Gulf Coast,Atl Sun,"$14,698,979","$13,583,745","$9,784,424",66.57
161,Tennessee Tech,Ohio Valley,"$14,651,719","$14,016,396","$11,360,598",77.54
162,Alabama State,SWAC,"$14,597,561","$14,597,561","$11,865,204",81.28
163,Indiana State,Mo. Valley,"$14,593,214","$14,017,870","$10,980,783",75.25
164,Eastern Kentucky,Ohio Valley,"$14,570,284","$14,570,279","$10,736,348",73.69
165,New Jersey Tech,Ind.,"$14,494,480","$13,648,104","$13,242,105",91.36
166,Missouri-Kansas City,WAC,"$14,456,056","$14,074,330","$12,077,161",83.54
167,California State-Northridge,Big West,"$14,215,306","$14,230,752","$12,530,122",88.15
168,Oakland,Horizon,"$14,171,552","$14,138,441","$11,441,310",80.73
169,North Carolina Wilmington,CAA,"$13,992,539","$12,520,175","$10,244,597",73.21
170,California State-Fullerton,Big West,"$13,877,982","$13,877,982","$11,218,561",80.84
171,Wisconsin-Milwaukee,Horizon,"$13,717,561","$12,916,898","$11,015,201",80.3
172,Eastern Washington,Big Sky,"$13,490,466","$14,307,543","$9,362,540",69.4
173,Eastern Illinois,Ohio Valley,"$13,351,692","$13,360,791","$9,635,048",72.16
174,California State-Bakersfield,WAC,"$13,328,352","$12,940,843","$9,501,509",71.29
175,Northern Kentucky,Atl Sun,"$13,260,586","$13,367,865","$11,360,594",85.67
176,Jacksonville State,Ohio Valley,"$13,215,127","$13,215,127","$9,736,116",73.67
177,Portland State,Big Sky,"$13,117,086","$15,100,335","$9,877,730",75.3
178,Western Illinois,Summit,"$12,973,264","$13,348,658","$9,340,593",72
179,Louisiana-Monroe,Sun Belt,"$12,953,419","$12,801,041","$4,294,251",33.15
180,Southern,SWAC,"$12,914,360","$13,433,528","$9,054,700",70.11
181,VMI,Southern,"$12,778,011","$13,022,017","$5,193,338",40.64
182,Tennessee State,Ohio Valley,"$12,669,083","$12,831,317","$9,937,681",78.44
183,Radford,Big South,"$12,613,126","$11,794,472","$11,056,511",87.66
184,Texas-Arlington,Sun Belt,"$12,513,885","$11,748,874","$9,746,563",77.89
185,Delaware State,MEAC,"$12,452,200","$12,452,200","$10,449,099",83.91
186,Central Arkansas,Southland,"$12,443,083","$12,381,046","$9,308,495",74.81
187,Winthrop,Big South,"$12,415,048","$12,220,563","$10,304,020",83
188,Florida A&M,MEAC,"$12,376,884","$12,351,422","$8,574,513",69.28
189,Southeastern Louisiana,Southland,"$12,370,704","$12,528,745","$7,994,352",64.62
190,Idaho State,Big Sky,"$12,329,329","$12,296,515","$8,246,127",66.88
191,Western Carolina,Southern,"$12,079,694","$12,170,138","$7,801,636",64.58
192,Utah Valley,WAC,"$12,045,919","$12,106,746","$10,440,156",86.67
193,Weber State,Big Sky,"$11,930,001","$12,227,409","$7,919,534",66.38
194,North Carolina A&T,MEAC,"$11,914,162","$11,873,742","$8,755,155",73.49
195,Cleveland State,Horizon,"$11,827,556","$11,827,556","$9,656,532",81.64
196,North Carolina Central,MEAC,"$11,820,733","$11,737,458","$8,357,599",70.7
197,Southeast Missouri State,Ohio Valley,"$11,730,885","$11,923,049","$8,683,213",74.02
198,Morehead State,Ohio Valley,"$11,685,666","$11,685,666","$9,805,536",83.91
199,North Florida,Atl Sun,"$11,648,560","$11,717,917","$8,262,089",70.93
200,Texas A&M-Corpus Christi,Southland,"$11,321,844","$10,744,548","$9,419,261",83.2
201,Austin Peay,Ohio Valley,"$11,242,672","$11,995,068","$8,051,735",71.62
202,McNeese State,Southland,"$11,188,939","$11,241,698","$5,549,380",49.6
203,Southern Utah,Big Sky,"$11,039,942","$10,562,560","$8,132,253",73.66
204,Northwestern State La,Southland,"$10,888,588","$11,429,999","$6,590,677",60.53
205,Wright State,Horizon,"$10,677,835","$11,663,355","$8,388,880",78.56
206,Tennessee-Martin,Ohio Valley,"$10,602,110","$10,602,110","$7,747,171",73.07
207,Texas-Rio Grande Valley,WAC,"$10,408,594","$10,064,057","$8,993,748",86.41
208,Prairie View A&M,SWAC,"$10,323,593","$10,363,199","$8,040,766",77.89
209,Morgan State,MEAC,"$10,307,709","$11,734,582","$8,678,065",84.19
210,Alabama A&M,SWAC,"$10,230,614","$10,015,107","$7,902,407",77.24
211,Texas Southern,SWAC,"$10,222,016","$10,222,016","$7,986,311",78.13
212,Longwood,Big South,"$10,023,086","$10,021,345","$8,653,599",86.34
213,Arkansas-Little Rock,Sun Belt,"$9,553,101","$9,855,082","$6,409,529",67.09
214,Indiana-Purdue Indianapolis,Summit,"$9,337,621","$9,306,307","$7,943,000",85.06
215,South Carolina State,MEAC,"$9,175,400","$9,179,400","$6,837,025",74.51
216,Southern Illinois Edwardsville,Ohio Valley,"$8,888,086","$8,867,986","$6,665,035",74.99
217,Wisconsin-Green Bay,Horizon,"$8,638,588","$8,516,931","$5,207,211",60.28
218,Jackson State,SWAC,"$8,361,416","$8,361,416","$5,925,507",70.87
219,Nicholls State,Southland,"$8,218,936","$8,203,578","$4,825,235",58.71
220,Indiana-Purdue Fort Wayne,Summit,"$7,738,770","$7,677,844","$5,668,974",73.25
221,South Carolina Upstate,Atl Sun,"$7,293,069","$7,111,696","$5,872,678",80.52
222,Alcorn State,SWAC,"$7,259,462","$7,368,686","$5,382,940",74.15
223,North Carolina Asheville,Big South,"$6,913,353","$6,756,299","$5,089,506",73.62
224,Arkansas-Pine Bluff,SWAC,"$6,590,482","$6,622,798","$4,783,415",72.58
225,Chicago State,WAC,"$6,418,842","$7,158,169","$5,802,473",90.4
226,Savannah State,MEAC,"$6,100,959","$6,409,247","$3,887,111",63.71
227,Maryland-Eastern Shore,MEAC,"$5,931,218","$5,931,218","$4,948,320",83.43
228,Grambling State,SWAC,"$5,367,410","$7,411,733","$2,846,491",53.03
229,New Orleans,Southland,"$5,342,580","$5,291,218","$1,702,355",31.86
230,Mississippi Valley State,SWAC,"$4,032,302","$4,075,217","$2,290,035",56.79
231,Coppin State,MEAC,"$3,442,399","$3,881,777","$2,570,994",74.69
