RK,SCHOOL,CONF,TOTAL REVENUE,TOTAL EXPENSES,TOTAL SUBSIDY,% SUBSIDY
34,Illinois,Big Ten,"$80,848,569","$83,112,351","$3,927,372",4.86
35,West Virginia,Big 12,"$77,626,819","$76,618,251","$4,441,522",5.72
36,Texas Tech,Big 12,"$76,723,413","$69,659,608","$4,086,756",5.33
37,Rutgers,AAC,"$76,656,339","$76,656,339","$36,340,665",47.41
38,Mississippi,SEC,"$75,849,000","$73,293,496","$3,886,423",5.12
39,Clemson,ACC,"$74,793,322","$73,456,221","$4,375,745",5.85
40,Arizona State,Pac-12,"$74,729,269","$74,553,104","$10,073,205",13.48
41,Maryland,ACC,"$73,434,869","$72,952,894","$18,121,113",24.68
42,Virginia Tech,ACC,"$73,065,186","$69,597,779","$8,110,828",11.1
43,Kansas State,Big 12,"$72,935,044","$62,576,606","$1,347,921",1.85
44,Connecticut,AAC,"$71,519,433","$71,396,255","$27,203,031",38.04
45,Purdue,Big Ten,"$71,372,206","$74,604,756",$0,0
46,North Carolina State,ACC,"$70,500,811","$63,958,569","$6,708,651",9.52
47,Georgia Tech,ACC,"$68,469,538","$68,818,267","$7,107,777",10.38
48,Iowa State,Big 12,"$68,170,381","$67,967,712","$1,957,396",2.87
49,Colorado,Pac-12,"$64,226,758","$64,303,100","$12,209,473",19.01
50,Oregon State,Pac-12,"$63,301,794","$73,020,003","$12,285,453",19.41
51,Mississippi State,SEC,"$62,275,111","$54,388,802","$2,650,000",4.26
52,Cincinnati,AAC,"$59,100,453","$55,433,830","$27,118,373",45.89
53,Utah,Pac-12,"$56,470,310","$50,531,606","$9,862,106",17.46
54,Washington State,Pac-12,"$54,426,818","$68,141,258","$10,104,638",18.57
55,Memphis,AAC,"$50,278,503","$50,266,862","$19,337,485",38.46
56,Central Florida,AAC,"$49,764,152","$45,327,168","$22,843,166",45.9
57,South Florida,AAC,"$48,383,928","$46,829,647","$21,355,970",44.14
58,New Mexico,Mt. West,"$47,199,769","$47,082,167","$17,239,472",36.52
59,San Diego State,Mt. West,"$46,978,189","$45,063,393","$18,503,715",39.39
60,Air Force,Mt. West,"$46,577,840","$41,438,813","$30,892,609",66.32
61,Boise State,Mt. West,"$45,706,336","$45,680,801","$11,799,384",25.82
62,Nevada-Las Vegas,Mt. West,"$44,057,560","$44,467,342","$19,783,274",44.9
63,James Madison,CAA,"$43,767,486","$43,767,486","$35,725,049",81.62
64,Old Dominion,C-USA,"$41,061,440","$41,118,876","$26,733,437",65.11
65,Hawaii,Big West,"$40,989,898","$43,086,528","$18,005,273",43.93
66,Houston,AAC,"$40,310,724","$39,486,396","$21,744,121",53.94
67,Colorado State,Mt. West,"$38,739,665","$36,944,157","$20,029,364",51.7
68,Army,Patriot,"$37,143,082","$32,532,108","$12,645,286",34.04
69,East Carolina,C-USA,"$36,598,782","$38,723,518","$15,680,447",42.84
70,Fresno State,Mt. West,"$36,038,183","$36,436,560","$13,101,250",36.35
71,Massachusetts,A-10,"$33,875,918","$33,475,242","$26,425,129",78.01
72,Akron,MAC,"$32,774,266","$32,050,686","$22,654,017",69.12
73,Wyoming,Mt. West,"$32,336,367","$32,966,973","$16,097,463",49.78
74,Texas State,Sun Belt,"$32,190,191","$28,378,049","$23,570,803",73.22
75,Delaware,CAA,"$32,142,970","$32,142,970","$24,929,996",77.56
76,North Texas,C-USA,"$31,617,094","$31,182,673","$19,784,033",62.57
77,Alabama at Birmingham,C-USA,"$31,549,517","$30,805,171","$20,345,607",64.49
78,Buffalo,MAC,"$31,277,980","$31,134,149","$23,979,061",76.66
79,California-Davis,Big West,"$31,062,590","$29,531,570","$25,136,071",80.92
80,Middle Tennessee,C-USA,"$30,410,530","$29,036,660","$19,674,538",64.7
81,Eastern Michigan,MAC,"$30,081,523","$30,081,523","$25,083,708",83.39
82,San Jose State,Mt. West,"$29,666,940","$27,815,957","$18,276,682",61.61
83,Charlotte,C-USA,"$29,591,208","$28,366,612","$20,459,306",69.14
84,Miami (Ohio),MAC,"$29,393,128","$28,712,466","$21,115,125",71.84
85,New Mexico State,WAC,"$29,287,917","$29,513,451","$20,353,201",69.49
86,Central Michigan,MAC,"$29,281,777","$29,281,777","$21,605,613",73.79
87,Western Michigan,MAC,"$28,927,072","$30,113,764","$20,027,951",69.24
88,Marshall,C-USA,"$28,707,091","$29,441,144","$14,056,395",48.96
89,Texas-El Paso,C-USA,"$28,645,661","$28,521,887","$15,016,788",52.42
90,Florida International,C-USA,"$28,104,062","$27,542,910","$22,540,365",80.2
91,Virginia Commonwealth,A-10,"$27,957,707","$27,511,166","$19,035,500",68.09
92,Ohio,MAC,"$27,720,000","$27,298,719","$18,453,771",66.57
93,Western Kentucky,Sun Belt,"$27,716,031","$27,716,031","$15,758,435",56.86
94,Stony Brook,Am East,"$27,504,770","$26,934,534","$23,298,044",84.71
95,Nevada,Mt. West,"$27,324,338","$27,734,777","$10,685,143",39.1
96,Georgia State,Sun Belt,"$27,093,316","$27,488,640","$20,692,717",76.38
97,Northern Illinois,MAC,"$27,007,054","$26,130,115","$18,339,414",67.91
98,Texas-San Antonio,C-USA,"$26,937,994","$27,175,879","$14,810,935",54.98
99,New Hampshire,Am East,"$26,799,800","$26,972,273","$18,628,939",69.51
100,Rhode Island,A-10,"$25,502,270","$24,885,161","$20,044,922",78.6
101,Utah State,Mt. West,"$25,152,919","$25,707,325","$14,179,545",56.37
102,Kent State,MAC,"$24,932,694","$24,392,281","$19,039,679",76.36
103,Towson,CAA,"$24,833,346","$24,477,033","$19,821,921",79.82
104,Troy,Sun Belt,"$24,628,741","$24,628,741","$17,834,972",72.42
105,Wichita State,Mo. Valley,"$24,481,122","$23,514,736","$7,514,236",30.69
106,Florida Atlantic,C-USA,"$24,352,818","$24,033,024","$16,358,377",67.17
107,North Dakota,Big Sky,"$23,815,870","$23,936,729","$13,357,249",56.09
108,California Polytechnic,Big West,"$23,749,692","$22,242,712","$17,589,223",74.06
109,William & Mary,CAA,"$23,664,928","$23,664,883","$12,691,327",53.63
110,Southern Mississippi,C-USA,"$23,536,254","$23,536,254","$9,413,473",40
111,Bowling Green,MAC,"$23,469,664","$23,306,965","$14,722,441",62.73
112,Ball State,MAC,"$23,424,359","$25,245,450","$17,397,330",74.27
113,Coastal Carolina,Big South,"$23,374,712","$23,829,311","$19,158,081",81.96
114,South Alabama,Sun Belt,"$23,091,728","$22,960,759","$17,883,165",77.44
115,Toledo,MAC,"$22,559,175","$26,304,331","$12,940,709",57.36
116,Sacramento State,Big Sky,"$21,960,948","$21,605,332","$16,968,568",77.27
117,Southern Illinois,Mo. Valley,"$21,847,326","$25,010,146","$13,651,986",62.49
118,Illinois State,Mo. Valley,"$21,587,420","$21,339,412","$15,112,785",70.01
119,Louisiana-Lafayette,Sun Belt,"$21,297,114","$21,542,643","$5,649,393",26.53
120,Illinois-Chicago,Horizon,"$21,187,176","$20,871,153","$12,410,075",58.57
121,George Mason,A-10,"$21,014,697","$21,633,369","$17,207,354",81.88
122,North Dakota State,Summit,"$20,712,638","$20,618,838","$7,994,050",38.6
123,Montana,Big Sky,"$20,609,017","$20,301,746","$8,642,945",41.94
124,Arkansas State,Sun Belt,"$20,151,793","$20,151,793","$10,642,341",52.81
125,Maine,Am East,"$19,490,936","$19,392,653","$12,829,475",65.82
126,Appalachian State,Southern,"$19,414,754","$19,320,283","$10,283,987",52.97
127,Louisiana Tech,C-USA,"$19,277,701","$19,239,017","$9,651,372",50.06
128,Albany,Am East,"$19,020,977","$19,020,977","$15,438,227",81.16
129,Georgia Southern,Southern,"$18,929,350","$18,109,721","$13,550,186",71.58
130,Idaho,WAC,"$18,920,916","$18,920,334","$9,381,453",49.58
131,Montana State,Big Sky,"$18,787,426","$18,610,685","$10,561,845",56.22
132,Vermont,Am East,"$18,344,402","$19,071,456","$13,392,986",73.01
133,Kennesaw State,Atl Sun,"$17,516,033","$16,630,159","$14,907,125",85.11
134,College of Charleston,CAA,"$17,440,104","$18,121,066","$13,153,721",75.42
135,Murray State,Ohio Valley,"$17,217,807","$15,673,736","$11,236,842",65.26
136,East Tennessee State,Atl Sun,"$17,088,793","$14,808,421","$14,071,113",82.34
137,Northern Iowa,Mo. Valley,"$16,966,524","$18,103,940","$8,464,481",49.89
138,California-Irvine,Big West,"$16,762,755","$16,856,259","$13,369,049",79.75
139,Long Beach State,Big West,"$16,703,611","$16,703,391","$10,627,432",63.62
140,Lamar,Southland,"$16,147,857","$15,880,006","$12,427,089",76.96
141,Tennessee-Chattanooga,Southern,"$16,046,057","$16,046,057","$11,667,988",72.72
142,Stephen F. Austin,Southland,"$15,697,105","$15,924,910","$13,364,737",85.14
143,South Dakota State,Summit,"$15,617,366","$15,700,589","$8,506,913",54.47
144,California-Santa Barbara,Big West,"$15,588,782","$15,980,965","$12,447,088",79.85
145,Binghamton,Am East,"$15,566,967","$14,806,604","$12,269,494",78.82
146,California-Riverside,Big West,"$15,484,936","$15,685,813","$13,788,851",89.05
147,Northern Arizona,Big Sky,"$15,235,528","$15,009,485","$11,956,387",78.48
148,Missouri State,Mo. Valley,"$15,105,167","$15,105,167","$8,965,530",59.35
149,Sam Houston State,Southland,"$14,892,104","$14,412,775","$10,629,147",71.37
150,South Dakota,Summit,"$14,879,307","$14,686,675","$10,697,633",71.9
151,Central Connecticut,Northeast,"$14,731,018","$14,731,018","$12,959,383",87.97
152,North Carolina Greensboro,Southern,"$14,646,547","$14,509,390","$11,860,371",80.98
153,Tennessee Tech,Ohio Valley,"$14,562,733","$13,634,913","$11,179,898",76.77
154,Florida Gulf Coast,Atl Sun,"$14,434,002","$12,640,775","$9,891,551",68.53
155,Maryland-Baltimore Cty,Am East,"$14,413,451","$14,538,378","$12,590,168",87.35
156,Youngstown State,Horizon,"$14,385,066","$14,385,066","$10,085,921",70.11
157,Citadel,Southern,"$14,144,606","$13,613,427","$9,327,235",65.94
158,Alabama State,SWAC,"$14,070,309","$14,070,309","$10,750,355",76.4
159,Indiana State,Mo. Valley,"$13,847,014","$13,727,928","$10,075,797",72.77
160,Nebraska-Omaha,Summit,"$13,693,874","$13,693,874","$9,243,641",67.5
161,Jacksonville State,Ohio Valley,"$13,430,960","$12,909,804","$8,841,035",65.83
162,Portland State,Big Sky,"$13,402,378","$14,401,920","$10,041,697",74.92
163,Weber State,Big Sky,"$13,377,335","$13,407,076","$8,883,487",66.41
164,California State-Bakersfield,WAC,"$13,357,571","$12,799,589","$8,917,551",66.76
165,Northern Colorado,Big Sky,"$13,339,533","$13,424,556","$9,688,815",72.63
166,Eastern Illinois,Ohio Valley,"$13,275,858","$13,074,791","$9,524,251",71.74
167,New Jersey Tech,Ind.,"$13,136,737","$12,482,364","$11,899,220",90.58
168,Radford,Big South,"$13,100,864","$12,423,704","$11,237,598",85.78
169,Delaware State,MEAC,"$13,063,111","$13,042,248","$11,413,182",87.37
170,California State-Northridge,Big West,"$13,038,310","$13,002,305","$11,572,217",88.76
171,Eastern Kentucky,Ohio Valley,"$13,033,265","$13,033,263","$10,432,816",80.05
172,Massachusetts-Lowell,Am East,"$12,988,025","$12,786,739","$10,292,273",79.24
173,Eastern Washington,Big Sky,"$12,858,386","$13,360,741","$9,153,007",71.18
174,Wisconsin-Milwaukee,Horizon,"$12,644,969","$12,965,391","$10,160,905",80.36
175,Winthrop,Big South,"$12,549,290","$12,301,745","$10,775,669",85.87
176,VMI,Big South,"$12,524,224","$11,921,483","$3,982,729",31.8
177,Idaho State,Big Sky,"$12,503,225","$12,491,220","$7,476,288",59.79
178,Florida A&M,MEAC,"$12,444,254","$12,415,520","$8,957,583",71.98
179,California State-Fullerton,Big West,"$12,280,700","$12,280,700","$9,525,235",77.56
180,North Carolina Wilmington,CAA,"$12,268,374","$12,351,215","$8,793,355",71.67
181,Norfolk State,MEAC,"$12,134,980","$12,823,816","$9,613,812",79.22
182,Louisiana-Monroe,Sun Belt,"$12,128,517","$12,336,499","$4,782,341",39.43
183,Western Illinois,Summit,"$12,098,077","$13,025,873","$9,118,895",75.37
184,Austin Peay,Ohio Valley,"$12,091,296","$12,698,929","$7,954,748",65.79
185,Northwestern State La,Southland,"$11,996,507","$11,621,515","$7,624,437",63.56
186,Northern Kentucky,Atl Sun,"$11,951,519","$11,430,809","$10,113,986",84.63
187,Oakland,Horizon,"$11,891,893","$11,537,425","$9,340,386",78.54
188,Texas-Arlington,Sun Belt,"$11,781,630","$13,068,075","$10,152,846",86.18
189,Central Arkansas,Southland,"$11,750,081","$11,418,457","$8,760,294",74.56
190,Tennessee State,Ohio Valley,"$11,715,972","$12,166,057","$8,646,618",73.8
191,Southeastern Louisiana,Southland,"$11,498,884","$12,157,552","$6,520,730",56.71
192,Missouri-Kansas City,WAC,"$11,467,677","$13,904,762","$9,592,076",83.64
193,Cleveland State,Horizon,"$11,446,911","$11,446,911","$9,627,983",84.11
194,Western Carolina,Southern,"$11,436,428","$11,466,187","$7,581,603",66.29
195,North Carolina A&T,MEAC,"$11,383,506","$11,808,863","$8,398,737",73.78
196,Utah Valley,WAC,"$11,191,569","$10,519,096","$9,601,418",85.79
197,Southeast Missouri State,Ohio Valley,"$11,173,471","$11,097,780","$8,220,874",73.57
198,McNeese State,Southland,"$10,926,299","$10,911,542","$5,130,197",46.95
199,Morehead State,Ohio Valley,"$10,833,587","$10,833,587","$9,341,671",86.23
200,Prairie View A&M,SWAC,"$10,761,388","$10,541,202","$8,272,437",76.87
201,Wright State,Horizon,"$10,710,593","$11,236,512","$8,417,787",78.59
202,North Carolina Central,MEAC,"$10,629,060","$10,703,763","$7,718,865",72.62
203,Southern Utah,Big Sky,"$10,598,596","$10,589,364","$7,961,064",75.11
204,Texas A&M-Corpus Christi,Southland,"$10,540,420","$10,272,816","$8,600,266",81.59
205,North Florida,Atl Sun,"$10,453,436","$10,236,045","$7,916,145",75.73
206,Southern,SWAC,"$10,153,053","$9,237,128","$5,071,085",49.95
207,Texas-Pan American,WAC,"$10,000,541","$9,859,201","$8,341,076",83.41
208,South Carolina State,MEAC,"$9,816,895","$9,816,895","$6,635,852",67.6
209,Texas Southern,SWAC,"$9,780,351","$9,780,351","$8,338,912",85.26
210,Longwood,Big South,"$9,774,504","$9,650,604","$8,416,143",86.1
211,Tennessee-Martin,Ohio Valley,"$9,709,378","$9,709,378","$7,234,518",74.51
212,Arkansas-Little Rock,Sun Belt,"$9,584,293","$9,151,451","$6,195,669",64.64
213,Alabama A&M,SWAC,"$9,568,473","$7,240,911","$7,342,671",76.74
214,Morgan State,MEAC,"$9,275,151","$10,187,400","$7,753,009",83.59
215,Wisconsin-Green Bay,Horizon,"$8,823,409","$8,853,983","$4,997,939",56.64
216,Southern Illinois Edwardsville,Ohio Valley,"$8,515,931","$8,237,305","$6,744,809",79.2
217,Indiana-Purdue Indianapolis,Summit,"$8,179,405","$8,350,718","$7,184,587",87.84
218,Nicholls State,Southland,"$8,113,231","$8,102,040","$4,718,258",58.16
219,Arkansas-Pine Bluff,SWAC,"$7,785,707","$7,816,300","$6,037,876",77.55
220,Indiana-Purdue Fort Wayne,Summit,"$7,393,037","$7,629,868","$5,428,905",73.43
221,Jackson State,SWAC,"$7,217,246","$7,217,246","$4,008,650",55.54
222,South Carolina Upstate,Atl Sun,"$7,138,589","$7,143,471","$5,834,118",81.73
223,Alcorn State,SWAC,"$6,340,123","$6,601,425","$5,329,700",84.06
224,North Carolina Asheville,Big South,"$6,340,084","$6,324,972","$4,623,708",72.93
225,Savannah State,MEAC,"$6,033,864","$6,345,251","$4,042,460",67
226,Maryland-Eastern Shore,MEAC,"$5,554,601","$5,554,601","$4,708,513",84.77
227,Grambling State,SWAC,"$5,389,368","$7,251,811","$2,920,597",54.19
228,New Orleans,Southland,"$5,224,996","$5,365,672","$1,725,273",33.02
229,Mississippi Valley State,SWAC,"$3,952,319","$3,952,319","$2,172,228",54.96
230,Coppin State,MEAC,"$3,304,284","$3,953,265","$2,467,870",74.69
