RK,SCHOOL,CONF,TOTAL REVENUE,TOTAL EXPENSES,TOTAL SUBSIDY,% SUBSIDY
1,Oregon,Pac-12,"$196,030,398","$110,378,432","$2,155,099",1.1
2,Texas,Big 12,"$161,035,187","$154,128,877",$0,0
3,Michigan,Big Ten,"$157,899,820","$142,551,994","$256,316",0.16
4,Alabama,SEC,"$153,234,273","$120,184,128","$5,997,100",3.91
5,Ohio State,Big Ten,"$145,232,681","$113,937,001",$0,0
6,LSU,SEC,"$133,679,256","$122,945,710",$0,0
7,Oklahoma,Big 12,"$129,226,692","$113,366,698",$0,0
8,Wisconsin,Big Ten,"$127,910,918","$125,096,235","$8,073,360",6.31
9,Florida,SEC,"$124,611,305","$109,690,016","$4,308,442",3.46
10,Texas A&M,SEC,"$119,475,872","$95,663,483","$1,241,457",1.04
11,Oklahoma State,Big 12,"$117,803,302","$109,648,000","$7,521,475",6.38
12,Penn State,Big Ten,"$117,590,990","$117,440,639",$0,0
13,Auburn,SEC,"$113,716,004","$126,470,602","$4,384,800",3.86
14,Tennessee,SEC,"$107,499,732","$106,153,854","$1,250,000",1.16
15,Minnesota,Big Ten,"$106,176,156","$106,176,156","$7,011,066",6.6
16,Iowa,Big Ten,"$105,958,954","$102,278,847","$683,917",0.65
17,Florida State,ACC,"$104,774,474","$98,866,182","$7,980,366",7.62
18,Michigan State,Big Ten,"$104,677,456","$107,422,832","$1,094,958",1.05
19,Georgia,SEC,"$103,495,587","$92,560,956","$3,274,712",3.16
20,Washington,Pac-12,"$100,275,187","$86,097,137","$3,549,679",3.54
21,Arizona,Pac-12,"$99,911,034","$95,524,260","$7,901,134",7.91
22,South Carolina,SEC,"$98,619,479","$95,762,786","$5,631,976",5.71
23,Kansas,Big 12,"$97,681,066","$90,056,511","$2,564,374",2.63
24,Arkansas,SEC,"$96,793,972","$94,640,408","$1,936,405",2
25,Kentucky,SEC,"$96,685,489","$94,612,431","$861,548",0.89
26,Nebraska,Big Ten,"$94,797,692","$90,939,273",$0,0
27,California,Pac-12,"$90,262,142","$90,108,023","$4,982,173",5.52
28,Louisville,AAC,"$88,745,348","$88,174,474","$7,768,599",8.75
29,UCLA,Pac-12,"$86,426,780","$86,426,780","$2,711,272",3.14
30,Indiana,Big Ten,"$84,668,779","$80,386,732","$3,008,362",3.55
31,North Carolina,ACC,"$83,771,913","$83,463,221","$9,078,593",10.84
32,Missouri,SEC,"$83,718,587","$80,230,179","$1,515,000",1.81
33,Virginia,ACC,"$83,697,971","$87,426,105","$13,235,814",15.81
